food_id,food_name,category,calories,carbs,protein,fat,fibre,sugar,sodium,vitamin_c,iron,calcium,diet_type,cluster,cluster_name
V001,Spinach,Vegetable,23,3.6,2.9,0.4,2.2,0.4,79,28.0,2.7,99,Vegan,1,High Carb Meals
V002,Broccoli,Vegetable,34,6.6,2.8,0.4,2.6,1.7,33,89.0,0.7,47,Vegan,1,High Carb Meals
V003,Carrot,Vegetable,41,9.6,0.9,0.2,2.8,4.7,69,6.0,0.6,33,Vegan,1,High Carb Meals
V004,Potato,Vegetable,77,17.0,2.0,0.1,2.2,0.8,6,20.0,0.8,12,Vegan,1,High Carb Meals
V005,Tomato,Vegetable,18,3.9,0.9,0.2,1.2,2.6,5,14.0,0.3,18,Vegan,1,High Carb Meals
V006,Onion,Vegetable,40,9.3,1.1,0.1,1.7,4.2,4,8.0,0.2,23,Vegan,1,High Carb Meals
V007,Garlic,Vegetable,149,33.0,6.4,0.5,2.1,1.0,17,31.0,1.7,181,Vegan,1,High Carb Meals
V008,Green Peas,Vegetable,81,14.0,5.0,0.4,5.5,5.7,5,40.0,1.5,25,Vegan,1,High Carb Meals
V009,Capsicum (Bell Pepper),Vegetable,31,6.0,1.0,0.3,2.1,4.2,2,80.0,0.4,10,Vegan,1,High Carb Meals
V010,Brussels Sprouts,Vegetable,43,8.9,3.4,0.3,3.8,2.2,25,85.0,1.4,42,Vegan,1,High Carb Meals
V011,Cauliflower,Vegetable,25,5.0,1.9,0.3,2.0,1.9,30,48.0,0.4,22,Vegan,1,High Carb Meals
V012,Zucchini,Vegetable,17,3.1,1.2,0.3,1.0,2.5,8,17.0,0.4,16,Vegan,1,High Carb Meals
V013,Eggplant,Vegetable,25,5.9,1.0,0.2,3.0,3.5,2,2.0,0.2,9,Vegan,1,High Carb Meals
V014,Cucumber,Vegetable,16,3.6,0.7,0.1,0.5,1.7,2,2.0,0.3,16,Vegan,1,High Carb Meals
V015,Mushroom (White),Vegetable,22,3.3,3.1,0.3,1.0,2.0,5,2.0,0.3,3,Vegan,1,High Carb Meals
V016,Sweet Potato,Vegetable,86,20.1,1.6,0.1,3.0,4.2,55,2.6,0.6,30,Vegan,1,High Carb Meals
V017,Beetroot,Vegetable,43,10.0,1.6,0.2,2.8,6.8,78,4.0,0.8,16,Vegan,1,High Carb Meals
V018,Cabbage,Vegetable,25,5.8,1.3,0.1,2.5,3.2,18,36.0,0.5,40,Vegan,1,High Carb Meals
V019,Radish,Vegetable,16,3.4,0.7,0.1,1.6,1.9,39,18.0,0.3,25,Vegan,1,High Carb Meals
V020,Sweet Corn,Vegetable,86,19.0,3.2,1.2,2.7,6.3,15,6.8,0.5,2,Vegan,1,High Carb Meals
V021,Collard Greens,Vegetable,32,4.4,3.0,0.6,4.0,0.5,35,35.0,0.5,232,Vegan,1,High Carb Meals
V022,Kale,Vegetable,49,8.8,4.3,0.9,3.6,0.99,38,120.0,1.5,150,Vegan,1,High Carb Meals
V023,Leek,Vegetable,61,14.2,1.5,0.3,1.8,3.9,20,12.0,0.6,59,Vegan,1,High Carb Meals
V024,Okra,Vegetable,33,7.5,2.0,0.2,3.2,1.5,7,23.0,0.6,77,Vegan,1,High Carb Meals
