Food_id,food_name,category,calories,carbs,protein,fat,fibre,sugar,sodium,vitamin_c,iron,calcium,diet_type
V001,Spinach,vegetable,23,3.6,2.9,0.4,2.2,0.4,79,28,2.7,99,vegan
V002,Broccoli,vegetable,34,6.6,2.8,0.4,2.6,1.7,33,89,0.7,47,vegan
V003,Carrot,vegetable,41,9.6,0.9,0.2,2.8,4.7,69,6,0.6,33,vegan
V004,Potato,vegetable,77,17,2,0.1,2.2,0.8,6,20,0.8,12,vegan
V005,Tomato,vegetable,18,3.9,0.9,0.2,1.2,2.6,5,14,0.3,18,vegan
V006,Onion,vegetable,40,9.3,1.1,0.1,1.7,4.2,4,8,0.2,23,vegan
V007,Garlic,vegetable,149,33,6.4,0.5,2.1,1,17,31,1.7,181,vegan
V008,Green Peas,vegetable,81,14,5,0.4,5.5,5.7,5,40,1.5,25,vegan
V009,Capsicum (Bell Pepper),vegetable,31,6,1,0.3,2.1,4.2,2,80,0.4,10,vegan
V010,Brussels Sprouts,vegetable,43,8.9,3.4,0.3,3.8,2.2,25,85,1.4,42,vegan
V011,Cauliflower,vegetable,25,5,1.9,0.3,2,1.9,30,48,0.4,22,vegan
V012,Zucchini,vegetable,17,3.1,1.2,0.3,1,2.5,8,17,0.4,16,vegan
V013,Eggplant,vegetable,25,5.9,1,0.2,3,3.5,2,2,0.2,9,vegan
V014,Cucumber,vegetable,16,3.6,0.7,0.1,0.5,1.7,2,2,0.3,16,vegan
V015,Mushroom (White),vegetable,22,3.3,3.1,0.3,1,2,5,2,0.3,3,vegan
V016,Sweet Potato,vegetable,86,20.1,1.6,0.1,3,4.2,55,2.6,0.6,30,vegan
V017,Beetroot,vegetable,43,10,1.6,0.2,2.8,6.8,78,4,0.8,16,vegan
V018,Cabbage,vegetable,25,5.8,1.3,0.1,2.5,3.2,18,36,0.5,40,vegan
V019,Radish,vegetable,16,3.4,0.7,0.1,1.6,1.9,39,18,0.3,25,vegan
V020,Sweet Corn,vegetable,86,19,3.2,1.2,2.7,6.3,15,6.8,0.5,2,vegan
V021,Collard Greens,vegetable,32,4.4,3,0.6,4,0.5,35,35,0.5,232,vegan
V022,Kale,vegetable,49,8.8,4.3,0.9,3.6,0.99,38,120,1.5,150,vegan
V023,Leek,vegetable,61,14.2,1.5,0.3,1.8,3.9,20,12,0.6,59,vegan
V024,Okra,vegetable,33,7.5,2,0.2,3.2,1.5,7,23,0.6,77,vegan
V025,Pumpkin,vegetable,26,6.5,1,0.1,0.5,2.8,1,9,0.8,21,vegan
V026,Swiss Chard,vegetable,19,3.7,1.8,0.2,1.6,1.1,30,30,0.8,51,vegan
V027,Mustard Greens,vegetable,27,4.7,2.9,0.4,3.2,1.1,25,70,1.6,115,vegan
V028,Turnip,vegetable,28,6.4,0.9,0.1,1.8,3.8,25,21,0.3,30,vegan
V029,Arugula,vegetable,25,3.7,2.6,0.7,1.6,2.1,27,15,0.8,160,vegan
V030,Sweet Onion,vegetable,40,9.3,1.1,0.1,1.7,4.2,4,8,0.2,23,vegan
V031,Spring Onion,vegetable,32,7.3,1.8,0.2,2.6,2.3,5,18,0.4,30,vegan
V032,Bok Choy,vegetable,13,2.2,1.5,0.2,1,1.2,65,45,0.8,105,vegan
V033,Watercress,vegetable,11,1.3,2.3,0.1,0.5,0.2,140,43,0.2,120,vegan
V034,Seaweed (Nori),vegetable,35,5.1,5.8,0.3,0.3,0.6,320,3.3,2.2,70,vegan
V035,Bamboo Shoot,vegetable,27,5.2,2.6,0.3,2.2,3,5,13,0.7,25,vegan
V036,Artichoke,vegetable,47,10.5,3.3,0.2,5.4,0.9,94,11,1.3,44,vegan
V037,Asparagus,vegetable,20,3.9,2.2,0.1,2.1,1.9,2,5,2.1,24,vegan
V038,Parsley,vegetable,36,6.3,3,0.8,3.3,0.9,56,133,6.2,138,vegan
V039,Celery,vegetable,16,3,0.7,0.2,1.6,1.4,80,3,0.2,40,vegan
V040,Fennel,vegetable,31,7.3,1.2,0.2,3.1,3.9,52,12,0.7,49,vegan
V041,Shallot,vegetable,72,16.8,2.5,0.1,3.2,7.9,12,8,1.5,37,vegan
V042,Collards,vegetable,32,4.4,3,0.6,4,0.5,35,35,0.5,232,vegan
V043,Chayote,vegetable,19,4.5,0.8,0.1,2,1.7,2,7,0.2,17,vegan
V044,Yam,vegetable,118,27.9,1.5,0.2,4.1,0.5,55,17,0.5,17,vegan
V045,Plantain,vegetable,122,31.9,1.3,0.4,2.3,14.8,2,18,0.6,3,vegan
